Year,ICPSR_State_Code,Alphanumeric_State_Code,State,Turnout_Rates_VEP_Total_Ballots_Counted,Turnout_Rates_VEP_Highest_Office,Turnout_Rates_VAP_Highest_Office,Numerators_Total_Ballots_Counted,Numerators_Highest_Office,Denominators_Voting_Eligible_Population_VEP,Denominators_Voting_Age_Population_VAP_,Non_citizen,Prison,Probation,Parole,Total_Ineligible_Felon,Overseas_Eligible
2006,63,13,Idaho,46.2,45.4,42,458927,450832,993010,1072895,4.4,7124,48609,2482,33911,
2006,21,14,Illinois,41.4,40.2,36.3,3586292,3486671,8667453,9483856,9.2,45106,0,0,45106,
2006,22,15,Indiana,37.7,36.6,35.2,1719351,1666922,4559294,4743856,3.1,26091,0,0,26091,
2006,31,16,Iowa,49.2,48.1,46.3,1071509,1048033,2178322,2267991,2.8,8875,22622,3560,23746,
2006,32,17,Kansas,44.3,43.6,41.1,864083,849700,1948850,2062668,4.7,8816,15518,4666,21241,
2006,51,18,Kentucky,44.2,40.4,39,1370062,1253526,3100828,3218000,1.9,20000,41162,10162,50743,
2006,45,19,Louisiana,31.4,29.7,28.3,954896,902498,3043573,3239317,2,37012,38057,24072,80113,
2006,2,20,Maine,,54.2,53.3,,550865,1016287,1037200,1.7,0,0,0,0,
2006,52,21,Maryland,47.2,46.7,42.2,1809237,1788316,3833349,4261205,7.9,22945,75698,14271,75065,
2006,3,22,Massachusetts,49.3,48.8,44.4,2243835,2219779,4552794,4970780,8.7,11032,0,0,11032,
2006,23,23,Michigan,52.8,52.1,49.9,3852008,3801256,7292624,7532918,3.6,51577,0,0,51577,
2006,33,24,Minnesota,60.5,60.1,56.4,2217552,2202987,3667707,3896561,4.2,9108,127289,4007,76760,
2006,46,25,Mississippi,,29.4,28.5,,610921,2077420,2154112,1.3,21068,24107,1970,35092,
2006,34,26,Missouri,51.2,50,48.1,2178278,2128459,4253541,4427266,2.2,30167,54963,18374,76023,
2006,64,27,Montana,57.1,56.4,55.6,411061,406505,720447,734669,1,3572,0,0,3572,
2006,35,28,Nebraska,48.8,47.6,45.1,610499,596087,1251027,1325932,4.3,4407,18731,662,14435,
2006,65,29,Nevada,37.1,36.9,31.1,586274,582572,1579222,1907976,14.4,12901,13208,3518,23023,
2006,4,30,New Hampshire,42.9,41.4,39.9,418550,403531,975281,1006234,3.4,2805,0,0,2805,
2006,12,31,New Jersey,40.6,39.5,34.1,2315643,2250070,5701033,6565183,12,27371,132636,13874,107563,
2006,66,32,New Mexico,43.1,42.5,38.6,568597,561084,1320285,1464560,8,6639,16493,2831,17717,
2006,13,33,New York,36.5,34.9,30.3,4703830,4490053,12878632,14665626,12.4,63315,0,53533,116848,
2006,47,34,North Carolina,32.5,31,28.7,2036451,1940808,6264630,6799585,5.8,37460,110419,3101,95771,
2006,36,35,North Dakota,45.4,44.9,44.1,220479,218152,486142,503647,1.5,1363,0,0,1363,
2006,24,36,Ohio,49.5,47.5,46.3,4184072,4022754,8461211,8687609,2.2,49166,0,0,49166,
2006,53,37,Oklahoma,,36.4,34.3,,926462,2547224,2709819,3.9,26243,27415,4329,44280,
2006,72,38,Oregon,53.2,52.5,48.4,1399650,1379475,2628937,2829482,7.3,13707,0,0,13707,
2006,14,39,Pennsylvania,,44.1,42.6,,4096077,9283762,9680466,3,44397,0,0,44397,
2006,5,40,Rhode Island,52.1,51,46.7,392882,384993,754219,824887,8.1,3996,0,0,3996,
2006,48,41,South Carolina,35.4,34.6,33.1,1117311,1091952,3152046,3332190,3.2,23616,38353,3072,45865,
2006,37,42,South Dakota,58.8,57.8,56.4,341105,335508,580592,589178,1.4,3359,0,2444,5803,
2006,54,43,Tennessee,42.1,41.4,39.5,1868363,1833695,4433921,4641909,3.1,25745,52558,8630,60654,
2006,49,44,Texas,,30.9,25.8,,4399068,14255313,17029802,13.4,172116,431967,101916,490016,
2006,67,45,Utah,35,34.3,31.8,582561,571252,1664323,1752158,7.1,6430,0,0,6430,
2006,6,46,Vermont,55,54.9,53.8,263025,262726,478247,487141,2,0,0,0,0,
2006,40,47,Virginia,44.5,44,40.6,2398589,2370445,5385522,5867219,6.7,36688,48144,4499,65259,
2006,73,48,Washington,47.3,47.3,42.7,2085074,2083734,4403981,4861001,8,17561,108076,11568,83167,
2006,56,49,West Virginia,33.8,32.8,32.3,473014,459884,1401490,1439052,0.7,5733,7668,1416,10983,
2006,25,50,Wisconsin,53.7,53.2,50.8,2183155,2161700,4064432,4240696,2.9,23431,55806,15907,67241,
2006,68,51,Wyoming,51.8,51.1,49.4,196217,193892,379127,400187,2,2114,5225,609,5336,
2004,0,0,United States,60.7,60.1,55.4,123535883,122294978,203483455,220336019,8.2,1490169,2387283,474632,3158443,3862836
2004,41,1,Alabama,57.4,57.2,55.2,1890317,1883415,3292608,3427542,1.9,26521,36795,7745,52664,
2004,81,2,Alaska,69.6,69.1,65.2,314502,312598,452124,476378,4,4515,5547,951,8240,
2004,61,3,Arizona,54.8,54.1,47,2038069,2012585,3717055,4215706,11.5,31631,69343,5671,71974,
2004,42,4,Arkansas,54.4,53.6,51,1070573,1054945,1969208,2072986,2.8,13477,29128,14844,42885,
2004,71,5,California,59.6,58.8,47.1,12589367,12421852,21132533,26246548,18.8,166053,0,110261,276314,
2004,62,6,Colorado,67.3,66.7,61.2,2148036,2129630,3192647,3443164,7.5,19756,0,7383,27139,
2004,1,7,Connecticut,66.2,65,59.7,1607808,1578769,2429634,2652587,7.3,20018,0,2552,22570,
2004,11,8,Delaware,64.5,64.2,59.4,377407,375190,584817,635370,4.7,6973,18725,539,16875,
2004,55,9,District of Columbia,54.9,54.3,48.9,230105,227586,419142,458758,10,0,0,0,0,
2004,43,10,Florida,64.7,64.4,56.1,7640319,7609810,11811921,13643828,11.2,84733,281170,4888,230206,
2004,44,11,Georgia,56.4,56.2,50,3317336,3301875,5878186,6499325,6.8,48625,419350,23344,281644,
2004,82,12,Hawaii,48.5,48.2,44.1,431662,429013,889540,982882,7.9,5946,0,0,5946,
2004,63,13,Idaho,64.8,63.2,58.7,612786,598376,946160,1016255,4.1,6312,44580,2370,30972,
2004,21,14,Illinois,62.4,61.5,55.7,5350493,5274322,8576696,9391420,9,44379,0,0,44379,
2004,22,15,Indiana,55.8,54.8,53,2512142,2468002,4504260,4660157,2.7,23760,0,0,23760,
2004,31,16,Iowa,70.6,69.9,67.4,1521966,1506908,2156389,2239979,2.6,8611,22832,3317,23344,
2004,32,17,Kansas,62.9,61.6,58.3,1213108,1187756,1928764,2032763,4.3,9152,14309,4525,20832,
2004,51,18,Kentucky,59.4,58.7,56.9,1816867,1795860,3057741,3157464,1.7,17763,33286,8006,42412,
2004,45,19,Louisiana,61.5,61.1,58.5,1956590,1943106,3182762,3379937,1.8,36745,38470,24387,80367,
2004,2,20,Maine,74.9,73.8,72.6,751519,740752,1003792,1022043,1.6,0,0,0,0,
2004,52,21,Maryland,63.1,62.9,57.2,2395791,2386705,3797264,4179376,7.2,23727,76676,14351,76416,
2004,3,22,Massachusetts,64.6,64.2,58.7,2927455,2912388,4533859,4935787,8.4,10365,0,0,10365,
2004,23,23,Michigan,67.1,66.6,63.9,4875692,4839252,7263024,7508568,3.4,48591,0,0,48591,
2004,33,24,Minnesota,78.8,78.4,73.9,2842912,2828387,3609185,3819020,3.9,8613,114226,3872,69598,
2004,46,25,Mississippi,,55.7,54.2,,1152365,2068766,2133681,1.2,20429,21324,1979,33070,
2004,34,26,Missouri,66.1,65.3,62.9,2764635,2731364,4180960,4339414,1.9,30775,53832,17400,75091,
2004,64,27,Montana,65.2,64.4,63.4,456096,450445,699114,711858,1,3800,0,0,3800,
2004,35,28,Nebraska,64.1,62.9,59.8,792906,778186,1236522,1305430,4,4042,17994,805,13844,
2004,65,29,Nevada,55.4,55.3,47.3,831563,829587,1501437,1776962,13.2,10971,12521,3610,20842,
2004,4,30,New Hampshire,71.5,70.9,68.4,683672,677738,956422,984422,3.2,2441,0,0,2441,
2004,12,31,New Jersey,64.2,63.8,55.2,3638153,3611691,5663201,6513394,11.7,28107,143315,14180,113945,
2004,66,32,New Mexico,60.4,59,53.9,775301,756304,1282767,1411419,7.4,6341,17725,2676,17880,
2004,13,33,New York,58.5,58,50.2,7448266,7391249,12738056,14598898,12.6,64596,0,54524,119120,
2004,47,34,North Carolina,58.7,57.8,53.9,3552449,3501007,6055771,6505150,5.3,34917,111537,2882,93568,
2004,36,35,North Dakota,65.5,64.8,63.8,316049,312833,482722,496479,1.3,1266,0,0,1266,
2004,24,36,Ohio,67.9,66.8,65.1,5722443,5627908,8427696,8624277,2,44770,0,0,44770,
2004,53,37,Oklahoma,,58.3,55.3,,1463758,2510823,2649994,3.4,24767,28435,4329,43314,
2004,72,38,Oregon,72.6,72,66.8,1851671,1836782,2550887,2736472,6.8,13219,0,0,13219,
2004,14,39,Pennsylvania,,62.6,60.6,,5769590,9221962,9554349,2.7,40692,0,0,40692,
2004,5,40,Rhode Island,58.9,58.5,52.9,440228,437134,747046,827513,7.6,3701,26085,368,17112,
2004,48,41,South Carolina,53.2,53,50.7,1626720,1617730,3055098,3198733,2.7,24173,38856,2217,45818,
2004,37,42,South Dakota,69.4,68.2,66.9,394930,388215,569161,576472,1.4,3101,0,0,3101,
2004,54,43,Tennessee,56.8,56.3,54.1,2456610,2437319,4328446,4496929,2.6,25834,47392,8410,57940,
2004,49,44,Texas,,53.7,45.4,,7410765,13796256,16284659,12.5,169110,428773,102072,485569,
2004,67,45,Utah,59.8,58.9,54.7,942010,927844,1574463,1664066,6.8,5802,0,0,5802,
2004,6,46,Vermont,66.7,66.3,65,314220,312309,470754,480053,2.1,0,0,0,0,
2004,40,47,Virginia,61.1,60.6,56.2,3223156,3198367,5277156,5699175,6.2,35472,43470,4392,61599,
2004,73,48,Washington,67.5,66.9,60.8,2883499,2859084,4272914,4683829,7.4,16559,125222,120,79290,
2004,56,49,West Virginia,55.1,54.1,53.4,769645,755887,1396545,1425689,0.6,4980,6977,1216,9685,
2004,25,50,Wisconsin,75.3,74.8,71.6,3016288,2997007,4006948,4172068,2.7,22905,54970,13883,64273,
2004,68,51,Wyoming,66.3,65.7,63.7,245789,243428,370785,386796,1.7,1923,4418,563,4695,
2002,0,0,United States,40.5,39.5,36.3,80295249,78381943,198381939,215461549,8,1456927,2451708,485282,3168063,3308145
2002,41,1,Alabama,,41.5,40.4,,1364602,3285643,3371451,1.8,28440,39713,5309,53606,
2002,81,2,Alaska,54.5,54.2,51,232852,231484,427337,457154,3.8,4431,5229,900,7946,
2002,61,3,Arizona,36.7,35.9,30.7,1255615,1226111,3419481,3998148,11.1,30741,66485,4587,68571,
2002,42,4,Arkansas,41.7,41.3,39.7,814176,805696,1951568,2031787,2.6,12378,27377,12128,38195,
2002,71,5,California,37.3,36.1,29,7738821,7476351,20733192,25622609,18.8,163361,0,113185,276546,
2002,62,6,Colorado,46.6,46.3,42,1424029,1416093,3056465,3362098,7.2,19085,0,6215,25300,
2002,1,7,Connecticut,45.1,42.3,38.9,1090756,1022942,2418037,2617814,7.1,20525,0,2186,22711,
2002,11,8,Delaware,,41.1,37.9,,232314,564938,612919,4.4,6879,20201,551,17531,
2002,55,9,District of Columbia,,30.1,27.1,,124228,412062,458631,10,0,0,0,0,
2002,43,10,Florida,45.9,45.6,39.5,5143674,5100581,11194391,13005435,10.9,80352,291315,5223,231233,
2002,44,11,Georgia,,35.4,32.2,,2031604,5731983,6287215,6.5,47004,367349,20822,251501,
2002,82,12,Hawaii,44.2,43.8,40.2,385462,382110,872992,950520,8,5635,0,0,5635,
2002,63,13,Idaho,45.2,44.7,42,416533,411477,921256,970916,4,5825,31361,1961,23467,
2002,21,14,Illinois,42.8,41.4,37.7,3651808,3538883,8540965,9302571,8.9,43186,0,0,43186,
2002,22,15,Indiana,34.8,33.9,33.3,1562037,1521353,4494191,4587747,2.6,22576,0,0,22576,
2002,31,16,Iowa,48.7,47.9,45.7,1040201,1023075,2136683,2214936,2.5,8395,19970,2787,21167,
2002,32,17,Kansas,44.9,44,41.4,851966,835692,1897261,2007407,4.1,9009,15217,3990,20608,
2002,51,18,Kentucky,,37.2,36.4,,1131313,3044267,3100972,1.7,16377,24480,5968,34585,
2002,45,19,Louisiana,40.1,39.4,37.8,1267225,1246333,3163663,3312330,1.7,36091,36257,23049,77269,
2002,2,20,Maine,,50.8,50.1,,505190,995056,1001796,1.6,0,0,0,0,
2002,52,21,Maryland,46.8,46.3,41.6,1721626,1704560,3678346,4082694,6.9,24186,81982,13271,78448,
2002,3,22,Massachusetts,49.8,49.2,44.4,2220301,2194189,4458820,4919958,8.2,10511,0,0,10511,
2002,23,23,Michigan,45,44.5,42.3,3219864,3177565,7147888,7445335,3.4,49524,0,0,49524,
2002,33,24,Minnesota,,64.1,59.7,,2254639,3518184,3745577,3.8,7612,122692,3577,72535,
2002,46,25,Mississippi,,30.1,29.2,,615609,2047426,2099698,1.1,20542,16633,1816,30675,
2002,34,26,Missouri,,45.6,43.9,,1877620,4116889,4262146,1.9,30649,54584,13533,71474,
2002,64,27,Montana,49.7,48.4,47.7,340272,331321,684572,690652,1,3440,0,0,3440,
2002,35,28,Nebraska,,39.9,37.3,,480991,1204512,1285024,3.8,4103,16468,574,12911,
2002,65,29,Nevada,36.8,36.2,31.1,512433,504079,1391100,1640679,12.7,10527,12290,3971,20643,
2002,4,30,New Hampshire,48.7,48.1,46,453078,447135,930362,960401,3,2483,0,0,2483,
2002,12,31,New Jersey,38.9,38.1,32.6,2161105,2112604,5549726,6448445,11.5,28213,134290,12576,107934,
2002,66,32,New Mexico,40,38.6,35.7,502230,484229,1255086,1360130,7,6173,16287,1962,16279,
2002,13,33,New York,37,36.1,31.4,4690968,4579078,12679865,14504792,12.6,65914,0,55990,121904,
2002,47,34,North Carolina,,39.7,37.2,,2331181,5876705,6314679,5,33334,112900,2805,92589,
2002,36,35,North Dakota,49.8,48.5,47.6,237224,231030,476251,486797,1.2,1168,0,0,1168,
2002,24,36,Ohio,40.3,38.8,37.6,3356285,3228992,8322521,8556557,1.9,45831,0,0,45831,
2002,53,37,Oklahoma,,41.2,39.6,,1035620,2513143,2610016,3.3,23004,29881,3573,41518,
2002,72,38,Oregon,51.8,50.8,47.2,1293756,1267221,2495739,2674581,6.7,12422,0,0,12422,
2002,14,39,Pennsylvania,,38.8,37.3,,3545431,9143001,9454338,2.6,40545,0,0,40545,
2002,5,40,Rhode Island,45.4,44.7,40.1,337027,331834,741776,819310,7.4,3569,25914,384,16910,
2002,48,41,South Carolina,,36.9,35.6,,1102010,2982810,3100548,2.6,24247,41574,3491,48525,
2002,37,42,South Dakota,61.2,60.7,59.7,340407,337497,556154,564305,1.3,3059,0,0,3059,
2002,54,43,Tennessee,,39.6,37.3,,1644741,4151834,4393757,2.5,25409,42712,7949,54714,
2002,49,44,Texas,34.5,34.2,28.8,4552059,4514012,13181016,15718593,12.1,164222,434486,103068,484533,
2002,67,45,Utah,37.8,37,35,568290,557153,1504529,1601707,6.5,5594,0,0,5594,
2002,6,46,Vermont,49.4,48.8,48.1,232993,230161,471403,472402,2.1,0,0,0,0,
2002,40,47,Virginia,32.3,29,26.9,1661915,1489422,5138270,5536511,6,34733,40359,4530,59443,
2002,73,48,Washington,43.5,41.8,37.9,1808720,1739116,4162032,4553733,7.3,16284,171603,95,102181,
2002,56,49,West Virginia,31.5,31.2,30.8,440156,436183,1398124,1413580,0.6,4703,6430,999,8917,
2002,25,50,Wisconsin,,45.4,43.2,,1775349,3908088,4094028,2.6,22366,54614,11088,60761,
2002,68,51,Wyoming,50.8,50.1,49.2,188028,185459,370488,376121,1.6,1809,4596,570,4677,
2000,0,0,United States,55.3,54.2,50,107390107,105375486,194331436,210623408,7.7,1377013,2339388,536039,3082746,2937000
2000,41,1,Alabama,,51.6,50.1,,1672551,3241682,3334576,1.5,26225,40178,5484,51798,
2000,81,2,Alaska,68.7,68.1,65,287825,285560,419111,440296,3.4,4173,4779,525,7088,
2000,61,3,Arizona,46.4,45.6,40.2,1559520,1532016,3357701,3816498,10.3,26510,59810,3474,59889,
2000,42,4,Arkansas,,47.9,46,,921781,1925961,2001774,2.3,11915,28409,8659,34779,
2000,71,5,California,56.6,55.7,44.1,11142843,10965849,19685258,24867252,18.8,163001,0,117647,280648,
2000,62,6,Colorado,,57.5,53.7,,1741368,3026316,3246521,6.7,16833,0,5500,22333,
2000,1,7,Connecticut,62.5,61.9,56.6,1474103,1459525,2357687,2575243,6.6,18355,47636,1868,44041,
2000,11,8,Delaware,,59,54.9,,327529,554863,594256,3.9,6921,20052,579,17526,
2000,55,9,District of Columbia,,48.3,43.9,,201355,416696,458301,10.2,7456,0,0,7456,
2000,43,10,Florida,57.5,55.9,47.9,6138765,5963110,10667193,12475387,10.4,71319,296139,5982,225371,
2000,44,11,Georgia,47.6,45.8,42.4,2684951,2583208,5639668,6087332,5.9,44232,321407,21556,226492,
2000,82,12,Hawaii,44.6,44.2,39.9,371113,367951,832642,923737,8.1,5053,0,0,5053,
2000,63,13,Idaho,58.9,57.2,53.5,516647,501615,877406,935443,3.8,5535,35103,1409,24496,
2000,21,14,Illinois,58.5,56.2,51.4,4932192,4742123,8432600,9208908,8.7,45281,0,0,45281,
2000,22,15,Indiana,50.8,49.3,48.3,2246348,2182295,4424909,4527523,2.3,20125,0,0,20125,
2000,31,16,Iowa,,63.2,59.6,,1315563,2082950,2199529,2.4,7955,21147,2763,21292,
2000,32,17,Kansas,56.7,55.6,54,1092716,1072216,1927950,1983933,3.9,8344,0,3829,12173,
2000,51,18,Kentucky,53.1,52.2,50.4,1568058,1544107,2955628,3059582,1.5,14919,19620,4614,29343,
2000,45,19,Louisiana,56.7,56.4,54.2,1776133,1765656,3130267,3260060,1.6,35207,35854,22860,75994,
2000,2,20,Maine,,67.2,66.4,,651817,969292,979314,1.5,0,0,0,0,
2000,52,21,Maryland,55.8,55.5,51,2036455,2025480,3649631,3972224,6.4,23538,81523,13666,77966,
2000,3,22,Massachusetts,60.6,59.9,55.4,2736006,2704984,4517052,4870470,8,0,0,0,0,
2000,23,23,Michigan,60.5,59.9,57.3,4279299,4232501,7070702,7370524,3.3,47718,0,0,47718,
2000,33,24,Minnesota,70.1,69.5,66.4,2458303,2438657,3506432,3662005,3.7,6238,115906,3072,67263,
2000,46,25,Mississippi,,49.1,47.8,,994184,2024650,2076861,1,20241,15118,1596,29396,
2000,34,26,Missouri,,58.2,56.2,,2359892,4052255,4190073,1.8,27382,53299,12563,66595,
2000,64,27,Montana,62.6,61.6,60.6,417916,410986,667525,676065,0.9,3105,0,0,3105,
2000,35,28,Nebraska,57.8,56.9,55,707223,696983,1224178,1266496,3.4,3895,21483,476,15113,
2000,65,29,Nevada,45.6,45.2,40.2,613360,608970,1346116,1523209,11.8,10063,12189,4056,20214,
2000,4,30,New Hampshire,65,63.9,60.7,578656,569081,890622,934176,2.7,2257,0,0,2257,
2000,12,31,New Jersey,58.8,56.9,50.1,3293378,3187226,5601788,6356954,11,29784,130610,11709,106798,
2000,66,32,New Mexico,49.9,48.5,45.4,615607,598605,1234088,1318129,6.4,5342,10461,1670,12243,
2000,13,33,New York,56.2,55.1,47.5,6960215,6821999,12380208,14344348,12.7,70198,0,57858,128056,
2000,47,34,North Carolina,52.5,50.7,47.5,3015964,2911262,5744241,6143214,4.6,31532,105949,3352,87859,
2000,36,35,North Dakota,61.1,60.3,59.7,292249,288256,477968,482078,1.2,1076,0,0,1076,
2000,24,36,Ohio,57.8,56.7,55.4,4795989,4705457,8295592,8487355,1.8,45833,0,0,45833,
2000,53,37,Oklahoma,,49.9,48,,1234229,2475220,2568304,2.9,23181,30969,1825,40491,
2000,72,38,Oregon,65.9,64.9,59.1,1559215,1533968,2364402,2595354,6.4,10580,0,0,10580,
2000,14,39,Pennsylvania,,54.1,52.3,,4912185,9086897,9375146,2.4,36847,0,0,36847,
2000,5,40,Rhode Island,54.7,54.2,50.7,412074,408783,753877,804417,6.9,3286,20922,331,14078,
2000,48,41,South Carolina,48.7,47,45.7,1433533,1382717,2944326,3025380,2.2,21778,44632,4378,48472,
2000,37,42,South Dakota,58.7,57.7,56.9,322159,316269,548498,554875,1.2,2616,0,0,2616,
2000,54,43,Tennessee,50.5,49.9,48.1,2100241,2076181,4162996,4316391,2.2,22166,40682,8093,50600,
2000,49,44,Texas,49.2,49.2,42.4,6407637,6407037,13033081,15138468,11.4,166719,441848,111719,499362,
2000,67,45,Utah,54.8,53.8,50.3,784582,770754,1431668,1534950,6.1,5632,0,0,5632,
2000,6,46,Vermont,64.7,64.1,63.1,297146,294308,459174,463503,2,0,0,0,0,
2000,40,47,Virginia,55,54,50.9,2789808,2739447,5069265,5389008,5.6,30168,33955,5148,52294,
2000,73,48,Washington,61.4,60.7,56.2,2517028,2487433,4098044,4419907,6.9,14915,154466,160,92308,
2000,56,49,West Virginia,,46.6,46.1,,648124,1390365,1405021,0.6,3856,6216,1112,8076,
2000,25,50,Wisconsin,,67.6,64.5,,2598607,3842044,4016401,2.4,20612,53242,9923,57156,
2000,68,51,Wyoming,61.4,59.2,58.2,221685,213726,361078,366639,1.5,1680,4115,514,4252,
1998,0,0,United States,39.3,38.1,35.3,74825832,72537000,190419570,205313182,7.3,1285469,2236975,515924,2919881,2937000
1998,41,1,Alabama,,41.2,40,,1317842,3202052,3293917,1.3,22676,40379,5221,48087,
1998,81,2,Alaska,55.6,54.6,52,227156,223300,408758,429317,3.2,4097,4274,478,6712,
1998,61,3,Arizona,32.1,31.5,28,1037550,1017616,3232815,3628841,9.4,25311,51329,3742,54718,
1998,42,4,Arkansas,,37.5,36.2,,706011,1882181,1951741,1.9,10638,28698,6979,31966,
1998,71,5,California,44.7,43.5,35,8617649,8381871,19264556,23980067,18.5,161904,0,108424,270328,
1998,62,6,Colorado,,46.1,43,,1327235,2879973,3085075,6,14312,0,5204,19516,
1998,1,7,Connecticut,43.7,42.7,39.3,1022453,999537,2340956,2544417,6.2,17605,55000,1396,46501,
1998,11,8,Delaware,,33.4,31.3,,180527,540896,576849,3.4,5558,20030,572,16145,
1998,55,9,District of Columbia,34.5,34,29.9,137523,135501,398318,452668,9.8,9829,0,0,9829,
1998,43,10,Florida,38.4,37.4,33,4070262,3965751,10590870,12001902,10,67224,283965,6487,215694,
1998,44,11,Georgia,34.6,33.7,30.8,1842145,1792880,5326337,5828114,5.2,39262,278669,20482,199079,
1998,82,12,Hawaii,49.6,49,44.8,412520,407556,832172,910645,8.1,4924,0,0,4924,
1998,63,13,Idaho,45.8,45.2,42.5,386720,381248,843914,896422,3.5,4083,31172,1309,20978,
1998,21,14,Illinois,42.7,41,37.4,3541379,3394521,8285614,9070725,8.2,43051,0,0,43051,
1998,22,15,Indiana,37.2,36.5,35.6,1618689,1588617,4348730,4457578,2,19197,0,0,19197,
1998,31,16,Iowa,46.1,45.3,43.9,973032,956415,2112132,2176940,2.1,7394,18447,2194,18812,
1998,32,17,Kansas,39.7,38.8,37.2,743288,727236,1873438,1955236,3.5,8183,0,6025,14208,
1998,51,18,Kentucky,41.5,39.1,38.2,1215053,1145414,2930780,2999287,1.3,14987,17594,4508,28292,
1998,45,19,Louisiana,32,31.3,30.1,990243,969165,3097660,3216121,1.6,32228,33028,18759,67501,
1998,2,20,Maine,,51.6,50.8,,486808,943577,957916,1.5,0,0,0,0,
1998,52,21,Maryland,43.6,43,39.6,1556994,1535978,3571087,3879108,6,22572,78051,15528,77126,
1998,3,22,Massachusetts,43.7,43,39.7,1935277,1903336,4430939,4793966,7.6,0,0,0,0,
1998,23,23,Michigan,44.9,43.4,41.7,3143432,3036886,7005306,7276123,3.1,45879,0,0,45879,
1998,33,24,Minnesota,62.3,61.9,58.8,2105343,2091766,3378089,3555108,3.3,5572,100818,2995,58976,
1998,46,25,Mississippi,,27.6,27,,550694,1995283,2038324,0.9,16678,11530,1489,23932,
1998,34,26,Missouri,,39.6,38.4,,1576857,3978146,4106478,1.7,24974,49992,10366,60336,
1998,64,27,Montana,51.8,50.7,50,338733,331551,653998,662582,0.9,2734,0,0,2734,
1998,35,28,Nebraska,48.6,45.5,43.7,581775,545238,1197953,1247656,3,3676,16527,624,12564,
1998,65,29,Nevada,35.7,35.3,31.1,440042,435790,1233386,1402851,10.7,9651,12561,4055,19987,
1998,4,30,New Hampshire,37.6,36.3,35.3,330555,318940,878508,903630,2.5,2169,0,0,2169,
1998,12,31,New Jersey,34.4,32.9,29,1894496,1813094,5505229,6261197,10.3,31121,129377,13218,109028,
1998,66,32,New Mexico,43.1,41.6,38.8,517355,498703,1199320,1286104,5.8,4985,10397,1773,11957,
1998,13,33,New York,40.7,38.6,33.5,4989877,4735236,12263356,14139223,12.4,70001,0,59548,129549,
1998,47,34,North Carolina,,35.8,33.8,,2012143,5624292,5948653,3.9,31961,105227,5806,90381,
1998,36,35,North Dakota,45.7,44.9,44.3,217584,213358,475629,481790,1.1,915,0,0,915,
1998,24,36,Ohio,42.9,41.3,40.4,3534782,3404351,8237516,8424249,1.6,48450,0,0,48450,
1998,53,37,Oklahoma,,36.2,34.7,,873585,2415036,2518285,2.6,20892,29093,1532,36971,
